warning: The `tool.uv.dev-dependencies` field (used in `/global/u1/i/imysore/CPIC_dev/pyproject.toml`) is deprecated and will be removed in a future release; use `dependency-groups.dev` instead
Using latent dimensions: [64]
dim 1 of 1
  0%|          | 0/30 [00:00<?, ?it/s]  3%|▎         | 1/30 [00:18<09:08, 18.91s/it]  7%|▋         | 2/30 [00:37<08:40, 18.60s/it] 10%|█         | 3/30 [00:55<08:18, 18.47s/it] 13%|█▎        | 4/30 [01:13<07:58, 18.41s/it] 17%|█▋        | 5/30 [01:32<07:39, 18.37s/it] 20%|██        | 6/30 [01:50<07:20, 18.35s/it] 23%|██▎       | 7/30 [02:08<07:01, 18.33s/it] 27%|██▋       | 8/30 [02:27<06:43, 18.32s/it] 30%|███       | 9/30 [02:45<06:24, 18.31s/it] 33%|███▎      | 10/30 [03:03<06:06, 18.31s/it] 37%|███▋      | 11/30 [03:22<05:47, 18.31s/it] 40%|████      | 12/30 [03:40<05:29, 18.30s/it] 43%|████▎     | 13/30 [03:58<05:11, 18.30s/it] 47%|████▋     | 14/30 [04:16<04:52, 18.30s/it] 50%|█████     | 15/30 [04:35<04:34, 18.29s/it] 53%|█████▎    | 16/30 [04:53<04:16, 18.29s/it] 57%|█████▋    | 17/30 [05:11<03:57, 18.29s/it] 60%|██████    | 18/30 [05:30<03:39, 18.29s/it] 63%|██████▎   | 19/30 [05:48<03:21, 18.30s/it] 67%|██████▋   | 20/30 [06:06<03:02, 18.29s/it] 70%|███████   | 21/30 [06:24<02:44, 18.30s/it] 73%|███████▎  | 22/30 [06:43<02:26, 18.29s/it] 77%|███████▋  | 23/30 [07:01<02:08, 18.29s/it] 80%|████████  | 24/30 [07:19<01:49, 18.29s/it] 83%|████████▎ | 25/30 [07:38<01:31, 18.29s/it] 87%|████████▋ | 26/30 [07:56<01:13, 18.29s/it] 90%|█████████ | 27/30 [08:14<00:54, 18.29s/it] 93%|█████████▎| 28/30 [08:32<00:36, 18.29s/it] 97%|█████████▋| 29/30 [08:51<00:18, 18.29s/it]100%|██████████| 30/30 [09:09<00:00, 18.28s/it]100%|██████████| 30/30 [09:09<00:00, 18.32s/it]
Epoch 0: loss=0.0043, I_compress_bound=8.6451, I_predictive_bound=-0.0017
Epoch 1: loss=0.0034, I_compress_bound=8.6042, I_predictive_bound=-0.0008
Epoch 2: loss=0.0032, I_compress_bound=8.5905, I_predictive_bound=-0.0007
Epoch 3: loss=0.0032, I_compress_bound=8.6170, I_predictive_bound=-0.0006
Epoch 4: loss=0.0033, I_compress_bound=8.6420, I_predictive_bound=-0.0007
Epoch 5: loss=0.0033, I_compress_bound=8.5880, I_predictive_bound=-0.0007
Epoch 6: loss=0.0034, I_compress_bound=8.6248, I_predictive_bound=-0.0008
Epoch 7: loss=0.0034, I_compress_bound=8.6350, I_predictive_bound=-0.0008
Epoch 8: loss=-0.3736, I_compress_bound=49.4114, I_predictive_bound=0.3884
Epoch 9: loss=-1.4261, I_compress_bound=195.0325, I_predictive_bound=1.4847
Epoch 10: loss=-1.9393, I_compress_bound=305.1521, I_predictive_bound=2.0308
Epoch 11: loss=-2.3420, I_compress_bound=417.2270, I_predictive_bound=2.4672
Epoch 12: loss=-2.7470, I_compress_bound=506.7826, I_predictive_bound=2.8990
Epoch 13: loss=-3.1346, I_compress_bound=576.0553, I_predictive_bound=3.3074
Epoch 14: loss=-3.4834, I_compress_bound=622.1529, I_predictive_bound=3.6701
Epoch 15: loss=-3.8354, I_compress_bound=660.4994, I_predictive_bound=4.0335
Epoch 16: loss=-4.1689, I_compress_bound=672.6874, I_predictive_bound=4.3708
Epoch 17: loss=-4.4400, I_compress_bound=708.6464, I_predictive_bound=4.6526
Epoch 18: loss=-4.6651, I_compress_bound=759.6834, I_predictive_bound=4.8930
Epoch 19: loss=-4.8631, I_compress_bound=767.8654, I_predictive_bound=5.0935
Epoch 20: loss=-5.0359, I_compress_bound=748.8863, I_predictive_bound=5.2605
Epoch 21: loss=-5.1598, I_compress_bound=807.7105, I_predictive_bound=5.4021
Epoch 22: loss=-5.2766, I_compress_bound=771.6315, I_predictive_bound=5.5081
Epoch 23: loss=-5.3861, I_compress_bound=756.6514, I_predictive_bound=5.6131
Epoch 24: loss=-5.4546, I_compress_bound=760.9143, I_predictive_bound=5.6828
Epoch 25: loss=-5.4862, I_compress_bound=769.2908, I_predictive_bound=5.7170
Epoch 26: loss=-5.5618, I_compress_bound=741.2420, I_predictive_bound=5.7842
Epoch 27: loss=-5.5973, I_compress_bound=725.9073, I_predictive_bound=5.8151
Epoch 28: loss=-5.6100, I_compress_bound=701.7177, I_predictive_bound=5.8205
Epoch 29: loss=-5.6816, I_compress_bound=699.2496, I_predictive_bound=5.8913
dim_idx: 64, R2: [[0.26786627]
 [0.28649536]
 [0.24601277]]
