warning: The `tool.uv.dev-dependencies` field (used in `/global/u1/i/imysore/CPIC_dev/pyproject.toml`) is deprecated and will be removed in a future release; use `dependency-groups.dev` instead
Using latent dimensions: [64]
dim 1 of 1
  0%|          | 0/30 [00:00<?, ?it/s]  3%|▎         | 1/30 [00:08<04:02,  8.36s/it]  7%|▋         | 2/30 [00:16<03:46,  8.09s/it] 10%|█         | 3/30 [00:24<03:36,  8.00s/it] 13%|█▎        | 4/30 [00:32<03:26,  7.96s/it] 17%|█▋        | 5/30 [00:39<03:17,  7.91s/it] 20%|██        | 6/30 [00:47<03:09,  7.88s/it] 23%|██▎       | 7/30 [00:55<03:01,  7.87s/it] 27%|██▋       | 8/30 [01:03<02:52,  7.85s/it] 30%|███       | 9/30 [01:11<02:44,  7.84s/it] 33%|███▎      | 10/30 [01:19<02:36,  7.84s/it] 37%|███▋      | 11/30 [01:26<02:28,  7.83s/it] 40%|████      | 12/30 [01:34<02:20,  7.83s/it] 43%|████▎     | 13/30 [01:42<02:13,  7.83s/it] 47%|████▋     | 14/30 [01:50<02:05,  7.83s/it] 50%|█████     | 15/30 [01:58<01:57,  7.83s/it] 53%|█████▎    | 16/30 [02:05<01:49,  7.83s/it] 57%|█████▋    | 17/30 [02:13<01:41,  7.82s/it] 60%|██████    | 18/30 [02:21<01:33,  7.82s/it] 63%|██████▎   | 19/30 [02:29<01:26,  7.82s/it] 67%|██████▋   | 20/30 [02:37<01:18,  7.82s/it] 70%|███████   | 21/30 [02:45<01:10,  7.85s/it] 73%|███████▎  | 22/30 [02:52<01:02,  7.84s/it] 77%|███████▋  | 23/30 [03:00<00:54,  7.84s/it] 80%|████████  | 24/30 [03:08<00:47,  7.84s/it] 83%|████████▎ | 25/30 [03:16<00:39,  7.83s/it] 87%|████████▋ | 26/30 [03:24<00:31,  7.83s/it] 90%|█████████ | 27/30 [03:32<00:23,  7.83s/it] 93%|█████████▎| 28/30 [03:39<00:15,  7.83s/it] 97%|█████████▋| 29/30 [03:47<00:07,  7.83s/it]100%|██████████| 30/30 [03:55<00:00,  7.83s/it]100%|██████████| 30/30 [03:55<00:00,  7.85s/it]
Epoch 0: loss=0.0040, I_compress_bound=8.3992, I_predictive_bound=-0.0015
Epoch 1: loss=0.0032, I_compress_bound=8.4042, I_predictive_bound=-0.0007
Epoch 2: loss=0.0029, I_compress_bound=8.3847, I_predictive_bound=-0.0004
Epoch 3: loss=0.0028, I_compress_bound=8.3856, I_predictive_bound=-0.0003
Epoch 4: loss=0.0029, I_compress_bound=8.3604, I_predictive_bound=-0.0004
Epoch 5: loss=0.0028, I_compress_bound=8.4150, I_predictive_bound=-0.0003
Epoch 6: loss=0.0028, I_compress_bound=8.4218, I_predictive_bound=-0.0002
Epoch 7: loss=0.0028, I_compress_bound=8.3819, I_predictive_bound=-0.0002
Epoch 8: loss=-0.0663, I_compress_bound=9.5552, I_predictive_bound=0.0692
Epoch 9: loss=-0.9551, I_compress_bound=100.0973, I_predictive_bound=0.9851
Epoch 10: loss=-1.5655, I_compress_bound=199.2555, I_predictive_bound=1.6252
Epoch 11: loss=-1.9078, I_compress_bound=280.1158, I_predictive_bound=1.9919
Epoch 12: loss=-2.2170, I_compress_bound=357.9189, I_predictive_bound=2.3244
Epoch 13: loss=-2.5082, I_compress_bound=448.8207, I_predictive_bound=2.6429
Epoch 14: loss=-2.8044, I_compress_bound=513.2194, I_predictive_bound=2.9584
Epoch 15: loss=-3.0707, I_compress_bound=559.2082, I_predictive_bound=3.2384
Epoch 16: loss=-3.3002, I_compress_bound=606.4316, I_predictive_bound=3.4821
Epoch 17: loss=-3.5263, I_compress_bound=601.6794, I_predictive_bound=3.7068
Epoch 18: loss=-3.7305, I_compress_bound=639.9798, I_predictive_bound=3.9225
Epoch 19: loss=-3.9162, I_compress_bound=692.9738, I_predictive_bound=4.1241
Epoch 20: loss=-4.0688, I_compress_bound=695.7593, I_predictive_bound=4.2776
Epoch 21: loss=-4.2660, I_compress_bound=691.1847, I_predictive_bound=4.4733
Epoch 22: loss=-4.4014, I_compress_bound=759.4493, I_predictive_bound=4.6293
Epoch 23: loss=-4.5361, I_compress_bound=734.7726, I_predictive_bound=4.7566
Epoch 24: loss=-4.6716, I_compress_bound=767.9749, I_predictive_bound=4.9020
Epoch 25: loss=-4.7729, I_compress_bound=770.6477, I_predictive_bound=5.0041
Epoch 26: loss=-4.8814, I_compress_bound=762.0286, I_predictive_bound=5.1100
Epoch 27: loss=-4.9723, I_compress_bound=802.3171, I_predictive_bound=5.2130
Epoch 28: loss=-5.0468, I_compress_bound=809.4227, I_predictive_bound=5.2896
Epoch 29: loss=-5.1242, I_compress_bound=785.4910, I_predictive_bound=5.3599
dim_idx: 64, R2: [[0.28464453]
 [0.3052129 ]
 [0.260483  ]]
